"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"MIN","2016-10-13","2016020011","20162017","STL","0",10,0,1,0,1,0,0,0,0,0,6,2,4
"MIN","2016-10-15","2016020024","20162017","WPG","1",6.07,1,0,0,2,0,0,0,0,0,6,3,3
"MIN","2016-10-18","2016020044","20162017","L.A","1",6.62,0,0,0,1,0,0,0,0,0,7,3,4
"MIN","2016-10-20","2016020057","20162017","TOR","1",5.98,2,1,0,1,0,0,0,0,0,4,0,4
"MIN","2016-10-22","2016020069","20162017","N.J","0",6,0,0,0,0,0,0,0,0,0,3,2,1
"MIN","2016-10-23","2016020078","20162017","NYI","0",6,0,0,0,2,0,0,0,0,0,3,2,1
"MIN","2016-10-25","2016020083","20162017","BOS","0",6.08,1,1,0,2,0,0,0,0,0,7,4,3
"MIN","2016-10-27","2016020098","20162017","BUF","0",4,0,0,0,0,0,0,0,0,0,2,3,-1
"MIN","2016-10-29","2016020119","20162017","DAL","1",3.07,0,0,0,1,0,0,0,0,0,1,3,-2
"MIN","2016-11-01","2016020137","20162017","BUF","1",1.12,1,0,1,0,0,0,0,0,0,0,1,-1
"MIN","2016-11-05","2016020161","20162017","COL","0",5.82,0,1,0,0,2,0,0,0,-2,5,3,2
"MIN","2016-11-10","2016020197","20162017","PIT","0",4.17,0,0,1,1,0,1,0,0,1,3,2,1
"MIN","2016-11-12","2016020216","20162017","PHI","0",4,0,0,0,2,0,0,0,0,0,2,0,2
"MIN","2016-11-13","2016020225","20162017","OTT","0",6,0,0,2,3,0,0,0,0,0,6,2,4
"MIN","2016-11-15","2016020237","20162017","CGY","1",3.95,0,0,0,1,0,0,0,0,0,5,1,4
"MIN","2016-11-17","2016020250","20162017","BOS","1",5.92,0,1,0,1,0,0,0,0,0,3,2,1
"MIN","2016-11-19","2016020268","20162017","COL","1",6.65,1,1,0,0,0,0,0,0,0,6,4,2
"MIN","2016-11-21","2016020280","20162017","DAL","0",4.92,2,0,0,0,0,0,0,0,0,2,3,-1
"MIN","2016-11-23","2016020293","20162017","WPG","1",4.22,0,1,1,0,0,0,0,0,0,3,4,-1
"MIN","2016-11-25","2016020303","20162017","PIT","1",5.97,1,1,0,2,0,0,0,0,0,2,2,0
"MIN","2016-11-26","2016020318","20162017","STL","0",4,0,0,1,2,0,0,0,0,0,4,2,2
"MIN","2016-11-29","2016020339","20162017","VAN","0",3.68,0,0,0,1,1,0,0,0,-1,1,2,-1
"MIN","2016-12-02","2016020357","20162017","CGY","0",6,0,0,0,1,0,0,0,0,0,3,2,1
"MIN","2016-12-04","2016020376","20162017","EDM","0",4,1,0,0,0,0,0,0,0,0,3,2,1
"MIN","2016-12-07","2016020391","20162017","TOR","0",2,0,0,0,0,0,0,0,0,0,1,1,0
"MIN","2016-12-09","2016020408","20162017","EDM","1",8,0,0,0,1,0,0,0,0,0,8,3,5
"MIN","2016-12-11","2016020424","20162017","STL","1",5.15,2,0,1,0,0,0,0,0,0,2,1,1
"MIN","2016-12-13","2016020438","20162017","FLA","1",2,0,0,0,0,0,0,0,0,0,0,2,-2
"MIN","2016-12-15","2016020450","20162017","NSH","0",2.42,0,0,0,0,0,0,0,0,0,1,2,-1
"MIN","2016-12-17","2016020461","20162017","ARI","1",5.62,0,0,0,1,0,0,0,0,0,2,3,-1
"MIN","2016-12-20","2016020488","20162017","COL","1",4.12,1,0,1,0,1,0,0,0,-1,4,2,2
"MIN","2016-12-22","2016020498","20162017","MTL","0",8,0,1,1,2,0,0,0,0,0,4,2,2
"MIN","2016-12-23","2016020506","20162017","NYR","0",1.1,0,0,0,0,0,0,0,0,0,1,1,0
"MIN","2016-12-27","2016020522","20162017","NSH","0",7.83,1,0,0,1,0,0,0,0,0,5,3,2
"MIN","2016-12-29","2016020538","20162017","NYI","1",2,1,0,0,0,0,0,0,0,0,1,2,-1
"MIN","2016-12-31","2016020550","20162017","CBJ","1",4.28,1,0,0,0,0,0,0,0,0,3,3,0
"MIN","2017-01-05","2016020584","20162017","S.J","0",4.13,0,0,0,0,1,0,0,0,-1,3,2,1
"MIN","2017-01-07","2016020593","20162017","L.A","0",3.63,1,0,0,2,0,0,0,0,0,0,1,-1
"MIN","2017-01-08","2016020608","20162017","ANA","0",6.57,3,0,1,2,1,1,0,0,0,2,6,-4
"MIN","2017-01-12","2016020628","20162017","MTL","1",7.23,1,1,1,2,0,0,0,0,0,4,4,0
"MIN","2017-01-14","2016020648","20162017","DAL","0",7.3,1,0,0,3,0,0,0,0,0,2,3,-1
"MIN","2017-01-15","2016020653","20162017","CHI","0",1.32,0,0,0,0,0,0,0,0,0,1,0,1
"MIN","2017-01-17","2016020667","20162017","N.J","1",4.5,1,0,0,1,0,0,0,0,0,3,3,0
"MIN","2017-01-19","2016020681","20162017","ARI","1",5.02,0,1,0,1,1,0,0,0,-1,3,1,2
"MIN","2017-01-21","2016020699","20162017","ANA","1",3.92,0,0,0,1,0,1,0,0,1,3,3,0
"MIN","2017-01-22","2016020707","20162017","NSH","1",2,0,1,1,0,0,0,0,0,0,0,2,-2
"MIN","2017-01-24","2016020723","20162017","DAL","0",6.47,1,0,0,1,1,0,0,0,-1,3,4,-1
"MIN","2017-01-26","2016020736","20162017","STL","1",2.82,1,0,0,0,1,0,0,0,-1,2,1,1
"MIN","2017-01-31","2016020751","20162017","EDM","0",2,0,0,0,0,0,0,0,0,0,2,1,1
"MIN","2017-02-01","2016020756","20162017","CGY","0",5.05,0,0,1,0,1,0,0,0,-1,2,1,1
"MIN","2017-02-04","2016020782","20162017","VAN","0",2,0,0,0,0,0,0,0,0,0,2,1,1
"MIN","2017-02-07","2016020799","20162017","WPG","0",2,0,0,0,0,0,0,0,0,0,0,1,-1
"MIN","2017-02-08","2016020801","20162017","CHI","1",4,0,0,1,0,0,0,0,0,0,2,2,0
"MIN","2017-02-10","2016020813","20162017","T.B","1",4.95,1,0,0,2,0,0,0,0,0,3,1,2
"MIN","2017-02-12","2016020829","20162017","DET","1",6.2,0,0,1,0,0,0,0,0,0,4,5,-1
"MIN","2017-02-14","2016020840","20162017","ANA","1",10,2,1,1,1,0,0,0,0,0,6,5,1
"MIN","2017-02-16","2016020852","20162017","DAL","1",0.65,0,0,0,0,0,0,0,0,0,1,2,-1
"MIN","2017-02-18","2016020865","20162017","NSH","1",6.27,1,0,0,2,0,0,0,0,0,4,3,1
"MIN","2017-02-21","2016020889","20162017","CHI","1",1.48,0,0,0,0,0,0,0,0,0,2,1,1
"MIN","2017-02-27","2016020921","20162017","L.A","1",4,0,0,0,1,0,0,0,0,0,4,1,3
"MIN","2017-02-28","2016020929","20162017","WPG","0",9,2,0,1,4,0,0,0,0,0,2,4,-2
"MIN","2017-03-02","2016020940","20162017","CBJ","0",8,0,0,1,2,0,0,0,0,0,6,3,3
"MIN","2017-03-05","2016020965","20162017","S.J","1",7.28,1,0,2,1,0,0,0,0,0,2,7,-5
"MIN","2017-03-07","2016020977","20162017","STL","1",2,0,0,0,0,0,0,0,0,0,0,1,-1
"MIN","2017-03-09","2016020987","20162017","T.B","0",7.28,2,0,1,0,0,0,0,0,0,3,6,-3
"MIN","2017-03-10","2016020997","20162017","FLA","0",4.68,0,0,0,1,2,1,0,0,-1,5,0,5
"MIN","2017-03-12","2016021012","20162017","CHI","0",2,0,0,0,0,0,0,0,0,0,0,1,-1
"MIN","2017-03-14","2016021025","20162017","WSH","0",11.28,0,1,0,5,1,1,0,0,0,6,6,0
"MIN","2017-03-16","2016021040","20162017","CAR","0",2,1,0,0,0,0,0,0,0,0,1,0,1
"MIN","2017-03-18","2016021059","20162017","NYR","1",5.1,1,0,0,0,0,0,0,0,0,6,2,4
"MIN","2017-03-19","2016021065","20162017","WPG","0",2.3,0,0,0,0,1,0,0,0,-1,0,2,-2
"MIN","2017-03-21","2016021082","20162017","S.J","1",5.45,1,0,0,0,0,0,0,0,0,2,1,1
"MIN","2017-03-23","2016021097","20162017","PHI","1",3,0,0,0,0,0,0,0,0,0,2,1,1
"MIN","2017-03-25","2016021106","20162017","VAN","1",5.97,0,0,1,1,1,0,0,0,-1,4,3,1
"MIN","2017-03-26","2016021119","20162017","DET","0",2.98,0,0,0,1,0,0,0,0,0,2,1,1
"MIN","2017-03-28","2016021133","20162017","WSH","1",9.88,2,1,0,3,1,0,0,0,-1,4,3,1
"MIN","2017-03-30","2016021147","20162017","OTT","1",3.93,0,0,0,0,0,0,0,0,0,1,2,-1
"MIN","2017-04-01","2016021158","20162017","NSH","0",2,0,0,0,0,0,0,0,0,0,1,1,0
