"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"BOS","2017-10-05","2017020005","20172018","NSH","1",9.12,2,1,1,0,0,0,0,0,0,3,11,-8
"BOS","2017-10-09","2017020032","20172018","COL","1",2,0,0,1,0,0,0,0,0,0,1,0,1
"BOS","2017-10-11","2017020048","20172018","COL","0",8.73,0,4,0,0,0,0,0,0,0,6,6,0
"BOS","2017-10-14","2017020072","20172018","ARI","0",5.22,0,0,1,1,0,1,0,0,1,3,4,-1
"BOS","2017-10-15","2017020077","20172018","VGK","0",7.88,1,1,0,3,0,0,0,0,0,7,3,4
"BOS","2017-10-19","2017020095","20172018","VAN","1",10.48,0,3,1,2,0,0,0,0,0,6,6,0
"BOS","2017-10-21","2017020112","20172018","BUF","1",3.78,0,0,1,2,0,1,0,0,1,1,2,-1
"BOS","2017-10-26","2017020138","20172018","S.J","1",7.75,3,2,0,1,1,0,0,0,-1,6,6,0
"BOS","2017-10-28","2017020156","20172018","L.A","1",3.38,0,1,1,0,0,1,0,0,1,2,1,1
"BOS","2017-10-30","2017020172","20172018","CBJ","0",8.87,0,3,3,1,0,0,0,0,0,4,2,2
"BOS","2017-11-02","2017020186","20172018","VGK","1",6,0,2,0,2,0,0,0,0,0,2,3,-1
"BOS","2017-11-04","2017020201","20172018","WSH","1",4,0,0,0,0,0,0,0,0,0,1,2,-1
"BOS","2017-11-06","2017020217","20172018","MIN","1",2,1,0,0,0,0,0,0,0,0,0,1,-1
"BOS","2017-11-08","2017020233","20172018","NYR","0",0.63,0,0,0,0,0,0,0,0,0,1,0,1
"BOS","2017-11-10","2017020243","20172018","TOR","0",8.63,1,0,2,1,0,0,0,0,0,6,2,4
"BOS","2017-11-11","2017020250","20172018","TOR","1",4.12,0,0,1,0,0,0,0,0,0,1,4,-3
"BOS","2017-11-15","2017020277","20172018","ANA","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"BOS","2017-11-16","2017020288","20172018","L.A","0",6.77,1,1,6,2,0,0,0,0,0,2,3,-1
"BOS","2017-11-18","2017020304","20172018","S.J","0",4,1,0,2,1,0,0,0,0,0,2,3,-1
"BOS","2017-11-22","2017020322","20172018","N.J","0",4.38,1,0,1,1,0,0,0,0,0,3,3,0
"BOS","2017-11-24","2017020334","20172018","PIT","1",1.77,0,0,0,0,0,0,0,0,0,1,1,0
"BOS","2017-11-26","2017020361","20172018","EDM","1",4,0,0,0,0,0,0,0,0,0,3,0,3
"BOS","2017-11-29","2017020377","20172018","T.B","1",1.78,0,0,0,0,0,0,0,0,0,2,0,2
"BOS","2017-12-02","2017020396","20172018","PHI","0",8.95,1,0,2,0,0,1,0,0,1,4,4,0
"BOS","2017-12-04","2017020414","20172018","NSH","0",4,1,1,2,0,0,0,0,0,0,1,2,-1
"BOS","2017-12-07","2017020430","20172018","ARI","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"BOS","2017-12-09","2017020444","20172018","NYI","1",8.2,0,4,1,0,0,0,0,0,0,2,4,-2
"BOS","2017-12-13","2017020477","20172018","DET","0",4.22,3,0,1,1,0,0,0,0,0,1,5,-4
"BOS","2017-12-14","2017020479","20172018","WSH","1",6.17,2,1,0,0,0,1,0,0,1,3,3,0
"BOS","2017-12-16","2017020497","20172018","NYR","1",5.35,1,0,1,2,0,1,0,0,1,4,2,2
"BOS","2017-12-18","2017020511","20172018","CBJ","1",7.5,0,4,1,3,0,2,0,0,2,5,6,-1
"BOS","2017-12-19","2017020517","20172018","BUF","0",2,0,0,0,0,0,0,0,0,0,1,2,-1
"BOS","2017-12-21","2017020529","20172018","WPG","1",5.87,0,0,1,0,0,0,0,0,0,3,3,0
"BOS","2017-12-23","2017020543","20172018","DET","1",4,0,0,1,2,0,0,0,0,0,3,1,2
"BOS","2017-12-27","2017020558","20172018","OTT","1",2,0,1,0,0,0,0,0,0,0,1,1,0
"BOS","2017-12-28","2017020569","20172018","WSH","0",7.22,1,0,1,1,0,0,0,0,0,6,2,4
"BOS","2017-12-30","2017020587","20172018","OTT","0",2,0,0,0,0,0,0,0,0,0,0,2,-2
"BOS","2018-01-02","2017020603","20172018","NYI","0",5.97,2,0,2,0,0,0,0,0,0,4,3,1
"BOS","2018-04-08","2017020616","20172018","FLA","1",6,1,1,2,0,0,0,0,0,0,2,3,-1
"BOS","2018-01-06","2017020636","20172018","CAR","1",5.13,0,1,2,2,0,0,0,0,0,6,1,5
"BOS","2018-01-07","2017020650","20172018","PIT","0",4.58,0,2,0,1,0,0,0,0,0,3,3,0
"BOS","2018-01-13","2017020672","20172018","MTL","0",6.48,3,1,1,3,0,0,0,0,0,3,5,-2
"BOS","2018-01-15","2017020683","20172018","DAL","1",4,0,0,1,2,0,0,0,0,0,0,3,-3
"BOS","2018-01-17","2017020693","20172018","MTL","1",2.85,1,0,0,1,1,0,0,0,-1,2,2,0
"BOS","2018-01-18","2017020696","20172018","NYI","0",4,1,0,0,0,0,0,0,0,0,2,2,0
"BOS","2018-01-20","2017020712","20172018","MTL","0",2,0,1,0,0,0,0,0,0,0,1,1,0
"BOS","2018-01-23","2017020732","20172018","N.J","1",5.72,0,0,2,1,0,2,0,0,2,2,4,-2
"BOS","2018-01-25","2017020750","20172018","OTT","0",6.68,1,0,3,0,0,0,0,0,0,4,1,3
"BOS","2018-01-30","2017020761","20172018","ANA","1",3.15,0,0,0,0,0,1,0,0,1,1,2,-1
"BOS","2018-02-01","2017020776","20172018","STL","1",2,0,1,1,0,0,0,0,0,0,1,0,1
"BOS","2018-02-03","2017020794","20172018","TOR","1",6.6,1,0,0,1,0,1,0,0,1,4,2,2
"BOS","2018-02-06","2017020817","20172018","DET","0",2.8,0,0,0,0,0,0,0,0,0,2,0,2
"BOS","2018-02-07","2017020824","20172018","NYR","0",4,1,1,0,0,0,0,0,0,0,3,2,1
"BOS","2018-02-10","2017020843","20172018","BUF","1",0.22,0,0,0,0,0,1,0,0,1,1,0,1
"BOS","2018-02-11","2017020857","20172018","N.J","0",12.08,2,3,3,1,0,0,0,0,0,8,8,0
"BOS","2018-02-13","2017020864","20172018","CGY","1",9.35,1,2,2,0,0,0,0,0,0,7,8,-1
"BOS","2018-02-17","2017020904","20172018","VAN","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"BOS","2018-02-19","2017020914","20172018","CGY","0",5.22,3,1,0,2,0,0,0,0,0,1,2,-1
"BOS","2018-02-20","2017020925","20172018","EDM","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"BOS","2018-02-24","2017020948","20172018","TOR","0",2.68,0,0,0,0,1,0,0,0,-1,2,1,1
"BOS","2018-02-25","2017020958","20172018","BUF","0",6.32,1,0,0,0,0,1,0,0,1,2,6,-4
"BOS","2018-02-27","2017020969","20172018","CAR","1",3.92,1,0,1,0,0,0,0,0,0,3,0,3
"BOS","2018-03-01","2017020983","20172018","PIT","1",8,0,1,2,1,0,0,0,0,0,6,3,3
"BOS","2018-03-03","2017021003","20172018","MTL","1",8,0,1,1,1,0,0,0,0,0,4,4,0
"BOS","2018-03-06","2017021020","20172018","DET","1",8.1,0,1,1,2,0,0,0,0,0,4,4,0
"BOS","2018-03-08","2017021032","20172018","PHI","1",8.17,0,1,4,1,0,0,0,0,0,4,6,-2
"BOS","2018-03-10","2017021048","20172018","CHI","1",4,1,1,3,2,0,0,0,0,0,3,2,1
"BOS","2018-03-11","2017021059","20172018","CHI","0",7.62,0,1,0,1,0,0,0,0,0,3,4,-1
"BOS","2018-03-13","2017021071","20172018","CAR","0",6.9,1,0,1,0,1,0,0,0,-1,4,4,0
"BOS","2018-03-15","2017021087","20172018","FLA","0",4.43,0,0,2,0,0,0,0,0,0,1,2,-1
