"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"ARI","2015-10-09","2015020016","20152016","L.A","0",8,2,0,4,0,0,0,0,0,0,3,5,-2
"ARI","2015-10-10","2015020029","20152016","PIT","1",8,0,0,3,1,0,0,0,0,0,6,2,4
"ARI","2015-10-14","2015020049","20152016","ANA","0",6,2,0,1,0,0,0,0,0,0,1,6,-5
"ARI","2015-10-15","2015020057","20152016","MIN","1",7.9,0,0,2,0,0,0,0,0,0,3,4,-1
"ARI","2015-10-17","2015020074","20152016","BOS","1",9.42,0,2,0,0,0,0,0,0,0,6,4,2
"ARI","2015-10-20","2015020081","20152016","N.J","0",6,1,0,1,2,0,0,0,0,0,1,4,-3
"ARI","2015-10-22","2015020092","20152016","NYR","0",4.13,0,0,0,0,0,0,0,0,0,5,1,4
"ARI","2015-10-24","2015020109","20152016","OTT","0",5.88,1,1,1,2,0,1,0,0,1,6,2,4
"ARI","2015-10-26","2015020122","20152016","TOR","0",3.02,0,0,0,1,0,0,0,0,0,2,1,1
"ARI","2015-10-27","2015020124","20152016","BOS","0",6,0,1,1,0,0,0,0,0,0,4,4,0
"ARI","2015-10-30","2015020153","20152016","VAN","1",6.38,0,0,0,1,0,0,0,0,0,1,5,-4
"ARI","2015-11-05","2015020191","20152016","COL","1",8.77,0,0,1,2,0,0,0,0,0,4,4,0
"ARI","2015-11-07","2015020208","20152016","NYR","1",6.32,0,1,2,2,0,0,0,0,0,2,4,-2
"ARI","2015-11-09","2015020215","20152016","ANA","0",5.8,1,1,1,1,1,0,0,0,-1,5,4,1
"ARI","2015-11-10","2015020226","20152016","L.A","0",3.28,0,0,0,0,0,0,0,0,0,3,4,-1
"ARI","2015-11-12","2015020240","20152016","EDM","1",8,0,1,2,0,0,0,0,0,0,4,5,-1
"ARI","2015-11-14","2015020254","20152016","CBJ","0",3.67,0,1,1,0,0,1,0,0,1,3,1,2
"ARI","2015-11-16","2015020261","20152016","NYI","0",6.47,0,1,0,0,0,0,0,0,0,7,0,7
"ARI","2015-11-19","2015020282","20152016","MTL","0",10,2,1,3,2,0,0,0,0,0,5,5,0
"ARI","2015-11-21","2015020299","20152016","WPG","0",9.88,4,1,1,0,1,0,0,0,-1,3,5,-2
"ARI","2015-11-25","2015020327","20152016","ANA","1",3.6,0,0,1,2,0,0,0,0,0,3,3,0
"ARI","2015-11-27","2015020341","20152016","CGY","1",11.27,0,0,4,3,0,0,0,0,0,7,4,3
"ARI","2015-11-28","2015020351","20152016","OTT","1",4.45,1,0,0,0,0,0,0,0,0,4,2,2
"ARI","2015-12-01","2015020364","20152016","NSH","0",3.35,0,1,0,0,0,0,0,0,0,0,4,-4
"ARI","2015-12-03","2015020377","20152016","DET","0",8,1,0,1,0,0,0,0,0,0,3,4,-1
"ARI","2015-12-04","2015020381","20152016","BUF","0",4,0,2,0,1,0,0,0,0,0,4,1,3
"ARI","2015-12-06","2015020398","20152016","CAR","0",5.43,0,0,0,0,0,0,0,0,0,2,3,-1
"ARI","2015-12-08","2015020413","20152016","STL","0",6,0,1,1,1,0,0,0,0,0,1,6,-5
"ARI","2015-12-11","2015020433","20152016","MIN","1",8,0,1,3,0,0,0,0,0,0,4,3,1
"ARI","2015-12-12","2015020442","20152016","CAR","1",4.83,0,0,0,1,0,0,0,0,0,4,2,2
"ARI","2015-12-17","2015020476","20152016","CBJ","1",2,0,0,0,0,0,0,0,0,0,2,0,2
"ARI","2015-12-19","2015020491","20152016","NYI","1",6,0,2,2,1,0,0,0,0,0,3,2,1
"ARI","2015-12-22","2015020515","20152016","TOR","1",2.22,0,0,0,0,0,0,0,0,0,3,1,2
"ARI","2015-12-26","2015020524","20152016","L.A","1",10.33,0,1,3,1,0,0,0,0,0,9,4,5
"ARI","2015-12-27","2015020532","20152016","COL","0",4.87,0,0,1,0,0,0,0,0,0,1,3,-2
"ARI","2015-12-29","2015020550","20152016","CHI","1",3.88,0,0,1,0,0,0,0,0,0,2,5,-3
"ARI","2015-12-31","2015020564","20152016","WPG","1",6,0,0,1,0,0,0,0,0,0,4,3,1
"ARI","2016-01-02","2015020568","20152016","EDM","0",6.68,0,0,2,2,0,0,0,0,0,6,3,3
"ARI","2016-01-04","2015020587","20152016","VAN","0",2.7,0,0,0,0,0,1,0,0,1,0,2,-2
"ARI","2016-01-07","2015020605","20152016","CGY","0",5.08,0,0,0,1,0,0,0,0,0,4,1,3
"ARI","2016-01-09","2015020621","20152016","NSH","1",6,0,2,2,0,0,0,0,0,0,2,4,-2
"ARI","2016-01-12","2015020641","20152016","EDM","1",3.28,1,2,1,1,0,0,0,0,0,0,3,-3
"ARI","2016-01-14","2015020652","20152016","DET","1",4.23,0,3,0,1,1,1,0,0,0,5,1,4
"ARI","2016-01-16","2015020667","20152016","N.J","1",4,0,0,0,0,0,0,0,0,0,2,0,2
"ARI","2016-01-18","2015020680","20152016","BUF","1",3.4,0,0,0,0,1,0,0,0,-1,2,3,-1
"ARI","2016-01-21","2015020701","20152016","S.J","1",3.38,0,0,0,1,0,0,0,0,0,3,1,2
"ARI","2016-01-23","2015020718","20152016","L.A","1",4,0,0,2,0,1,1,0,0,0,3,3,0
"ARI","2016-01-25","2015020730","20152016","MIN","0",3.97,0,1,0,0,0,0,0,0,0,0,4,-4
"ARI","2016-01-26","2015020737","20152016","WPG","0",6.73,2,1,3,0,0,1,0,0,1,2,1,1
"ARI","2016-02-02","2015020754","20152016","L.A","1",8.3,0,2,3,1,0,1,0,0,1,3,4,-1
"ARI","2016-02-04","2015020768","20152016","CHI","1",7.32,0,0,1,1,1,2,0,0,1,3,2,1
"ARI","2016-02-05","2015020774","20152016","ANA","0",13.03,3,1,5,2,1,0,0,0,-1,9,5,4
"ARI","2016-02-10","2015020808","20152016","VAN","1",7.67,0,3,1,1,0,0,0,0,0,5,5,0
"ARI","2016-02-12","2015020824","20152016","CGY","1",7.23,0,0,0,1,0,1,0,0,1,7,5,2
"ARI","2016-02-13","2015020834","20152016","S.J","0",9.1,0,1,1,0,0,0,0,0,0,5,5,0
"ARI","2016-02-15","2015020845","20152016","MTL","1",2,0,0,0,0,0,0,0,0,0,0,1,-1
"ARI","2016-02-18","2015020867","20152016","DAL","1",4.02,0,0,0,1,0,0,0,0,0,1,4,-3
"ARI","2016-02-20","2015020881","20152016","STL","1",4.43,0,0,1,0,0,0,0,0,0,1,2,-1
"ARI","2016-02-22","2015020890","20152016","WSH","0",7.42,2,1,2,0,0,0,0,0,0,4,4,0
"ARI","2016-02-23","2015020897","20152016","T.B","0",3.85,0,0,2,0,0,2,0,0,2,4,1,3
"ARI","2016-02-25","2015020909","20152016","FLA","0",6.7,1,3,2,0,0,1,0,0,1,3,3,0
"ARI","2016-02-27","2015020921","20152016","PHI","0",4.8,0,2,0,0,0,1,0,0,1,3,1,2
"ARI","2016-02-29","2015020939","20152016","PIT","0",9.18,0,1,3,1,0,0,0,0,0,3,9,-6
"ARI","2016-03-03","2015020963","20152016","ANA","1",11.53,0,1,5,1,1,0,0,0,-1,5,8,-3
"ARI","2016-03-05","2015020978","20152016","FLA","1",10,0,4,2,1,0,0,0,0,0,8,3,5
"ARI","2016-03-07","2015020989","20152016","COL","0",3.98,0,0,0,1,0,0,0,0,0,2,4,-2
"ARI","2016-03-09","2015021005","20152016","VAN","0",7.97,2,1,1,1,0,0,0,0,0,7,1,6
"ARI","2016-03-11","2015021017","20152016","CGY","0",5.38,1,1,0,1,0,0,0,0,0,1,4,-3
"ARI","2016-03-12","2015021026","20152016","EDM","0",6,2,2,1,0,0,0,0,0,0,3,5,-2
"ARI","2016-03-17","2015021059","20152016","S.J","1",4,0,0,0,0,0,0,0,0,0,3,1,2
"ARI","2016-03-19","2015021076","20152016","T.B","1",8,0,0,1,1,0,0,0,0,0,2,2,0
"ARI","2016-03-20","2015021084","20152016","S.J","0",7.57,0,0,0,1,0,0,0,0,0,5,5,0
"ARI","2016-03-22","2015021097","20152016","EDM","1",4.95,1,2,2,0,0,1,0,0,1,2,2,0
"ARI","2016-03-24","2015021110","20152016","DAL","1",5.07,0,0,0,1,0,0,0,0,0,3,2,1
"ARI","2016-03-26","2015021127","20152016","PHI","1",8.12,0,0,2,0,0,0,0,0,0,4,3,1
"ARI","2016-03-28","2015021138","20152016","CGY","1",3.47,1,1,2,0,0,0,0,0,0,4,0,4
"ARI","2016-03-31","2015021159","20152016","DAL","0",4.17,0,0,0,0,0,0,0,0,0,3,1,2
"ARI","2016-04-02","2015021177","20152016","WSH","1",4,1,0,1,0,0,0,0,0,0,2,1,1
"ARI","2016-04-04","2015021186","20152016","STL","0",8.85,0,1,0,1,0,1,0,0,1,7,2,5
"ARI","2016-04-05","2015021196","20152016","CHI","0",9.42,0,0,1,0,0,0,0,0,0,5,3,2
"ARI","2016-04-07","2015021209","20152016","NSH","0",6.63,1,0,1,0,0,0,0,0,0,2,3,-1
"ARI","2016-04-09","2015021230","20152016","S.J","0",10,1,1,1,0,0,0,0,0,0,6,6,0
"ARI","Total","-","20152016","-","-",6.16,34,56,93,47,8,16,0,0,8,284,253,31
