"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"BOS","2017-10-05","2017020005","20172018","NSH","1",7.12,6,1,0,5,10,1,0,0,0
"BOS","2017-10-09","2017020032","20172018","COL","1",8,5,0,0,9,6,1,1,0,0
"BOS","2017-10-11","2017020048","20172018","COL","0",6.97,4,2,0,9,6,3,1,1,0
"BOS","2017-10-14","2017020072","20172018","ARI","0",3.8,5,0,0,2,5,0,0,0,0
"BOS","2017-10-15","2017020077","20172018","VGK","0",4.27,2,1,0,2,2,1,0,0,0
"BOS","2017-10-19","2017020095","20172018","VAN","1",11.48,6,4,0,11,8,4,0,0,0
"BOS","2017-10-21","2017020112","20172018","BUF","1",3.82,2,0,0,6,3,0,0,0,0
"BOS","2017-10-26","2017020138","20172018","S.J","1",3.88,2,0,0,3,2,2,0,0,0
"BOS","2017-10-28","2017020156","20172018","L.A","1",3.38,1,0,1,5,1,0,1,0,0
"BOS","2017-10-30","2017020172","20172018","CBJ","0",3.22,4,0,0,5,4,0,0,0,0
"BOS","2017-11-02","2017020186","20172018","VGK","1",2,1,1,0,3,1,1,1,1,0
"BOS","2017-11-04","2017020201","20172018","WSH","1",7.12,3,0,1,9,6,1,1,0,0
"BOS","2017-11-06","2017020217","20172018","MIN","1",7.98,4,4,1,6,5,4,3,2,0
"BOS","2017-11-08","2017020233","20172018","NYR","0",6.63,5,1,0,5,5,1,0,0,0
"BOS","2017-11-10","2017020243","20172018","TOR","0",7.98,4,1,0,9,5,1,2,1,0
"BOS","2017-11-11","2017020250","20172018","TOR","1",6.88,3,1,0,7,5,1,0,0,0
"BOS","2017-11-15","2017020277","20172018","ANA","0",4,2,1,0,7,3,1,0,0,0
"BOS","2017-11-16","2017020288","20172018","L.A","0",4.27,3,0,0,4,4,1,0,0,0
"BOS","2017-11-18","2017020304","20172018","S.J","0",2,1,2,0,0,1,2,0,0,0
"BOS","2017-11-22","2017020322","20172018","N.J","0",8,5,0,3,2,5,1,3,0,0
"BOS","2017-11-24","2017020334","20172018","PIT","1",4,2,1,0,4,4,1,0,0,0
"BOS","2017-11-26","2017020361","20172018","EDM","1",2.65,2,0,0,3,2,0,0,0,0
"BOS","2017-11-29","2017020377","20172018","T.B","1",3,2,0,1,1,4,1,1,0,0
"BOS","2017-12-02","2017020396","20172018","PHI","0",2.95,1,1,0,5,1,1,0,0,0
"BOS","2017-12-04","2017020414","20172018","NSH","0",4.33,5,1,0,3,7,1,0,0,0
"BOS","2017-12-07","2017020430","20172018","ARI","1",6.57,7,3,0,3,8,3,1,1,0
"BOS","2017-12-09","2017020444","20172018","NYI","1",0.88,1,0,0,0,2,0,0,0,0
"BOS","2017-12-13","2017020477","20172018","DET","0",6,3,2,1,4,3,3,2,1,0
"BOS","2017-12-14","2017020479","20172018","WSH","1",6.57,5,0,0,5,8,2,0,0,0
"BOS","2017-12-16","2017020497","20172018","NYR","1",11.75,6,4,0,10,8,5,0,0,0
"BOS","2017-12-18","2017020511","20172018","CBJ","1",5.43,2,1,0,7,2,1,1,1,0
"BOS","2017-12-19","2017020517","20172018","BUF","0",4,3,0,2,3,4,0,2,0,0
"BOS","2017-12-21","2017020529","20172018","WPG","1",6,3,0,0,7,6,0,0,0,0
"BOS","2017-12-23","2017020543","20172018","DET","1",2.53,2,2,0,2,2,2,0,0,0
"BOS","2017-12-27","2017020558","20172018","OTT","1",5,1,2,0,6,1,3,0,0,0
"BOS","2017-12-28","2017020569","20172018","WSH","0",10,6,1,1,5,8,1,1,0,0
"BOS","2017-12-30","2017020587","20172018","OTT","0",6.25,4,1,1,10,6,1,2,1,0
"BOS","2018-01-02","2017020603","20172018","NYI","0",4.7,3,0,0,4,4,0,0,0,0
"BOS","2018-04-08","2017020616","20172018","FLA","1",7.53,7,0,0,9,10,1,0,0,0
"BOS","2018-01-06","2017020636","20172018","CAR","1",2.25,2,0,0,2,2,1,0,0,0
"BOS","2018-01-07","2017020650","20172018","PIT","0",4,2,0,0,5,2,0,0,0,0
"BOS","2018-01-13","2017020672","20172018","MTL","0",0.48,1,0,0,0,1,1,0,0,0
"BOS","2018-01-15","2017020683","20172018","DAL","1",8,5,2,0,8,6,3,0,0,0
"BOS","2018-01-17","2017020693","20172018","MTL","1",4.98,3,1,0,2,4,1,0,0,0
"BOS","2018-01-18","2017020696","20172018","NYI","0",0.25,1,0,0,0,1,0,0,0,0
"BOS","2018-01-20","2017020712","20172018","MTL","0",5.92,6,1,0,2,7,2,0,0,0
"BOS","2018-01-23","2017020732","20172018","N.J","1",3.13,3,0,1,1,4,1,1,0,0
"BOS","2018-01-25","2017020750","20172018","OTT","0",0.27,1,0,0,0,1,0,0,0,0
"BOS","2018-01-30","2017020761","20172018","ANA","1",7.42,3,1,0,9,3,2,0,0,0
"BOS","2018-02-01","2017020776","20172018","STL","1",0.5,1,0,0,0,2,0,0,0,0
"BOS","2018-02-03","2017020794","20172018","TOR","1",3.28,2,0,1,4,2,0,1,0,0
"BOS","2018-02-06","2017020817","20172018","DET","0",4,4,0,0,3,4,0,0,0,0
"BOS","2018-02-07","2017020824","20172018","NYR","0",4,1,1,1,4,2,1,1,0,0
"BOS","2018-02-10","2017020843","20172018","BUF","1",6.22,3,0,1,7,8,0,1,0,0
"BOS","2018-02-11","2017020857","20172018","N.J","0",6.05,5,0,0,5,6,0,0,0,0
"BOS","2018-02-13","2017020864","20172018","CGY","1",5.22,5,0,0,3,6,0,0,0,0
"BOS","2018-02-17","2017020904","20172018","VAN","0",10,7,1,2,16,8,1,2,0,0
"BOS","2018-02-19","2017020914","20172018","CGY","0",4,2,0,0,10,2,0,0,0,0
"BOS","2018-02-20","2017020925","20172018","EDM","0",6,4,1,0,4,5,1,0,0,0
"BOS","2018-02-24","2017020948","20172018","TOR","0",4,3,1,0,5,3,1,1,1,0
"BOS","2018-02-25","2017020958","20172018","BUF","0",6.07,5,0,0,5,5,1,0,0,0
"BOS","2018-02-27","2017020969","20172018","CAR","1",2.57,2,0,0,2,2,0,0,0,0
"BOS","2018-03-01","2017020983","20172018","PIT","1",7.8,6,0,0,11,8,0,1,1,0
"BOS","2018-03-03","2017021003","20172018","MTL","1",11.17,10,1,0,9,13,1,0,0,0
"BOS","2018-03-06","2017021020","20172018","DET","1",5.92,4,1,0,4,5,1,0,0,0
"BOS","2018-03-08","2017021032","20172018","PHI","1",5.93,4,2,0,4,5,3,0,0,0
"BOS","2018-03-10","2017021048","20172018","CHI","1",8.32,4,2,0,7,7,2,0,0,0
"BOS","2018-03-11","2017021059","20172018","CHI","0",2,1,0,0,2,1,0,0,0,0
"BOS","2018-03-13","2017021071","20172018","CAR","0",5.4,3,2,0,4,6,3,0,0,0
"BOS","2018-03-15","2017021087","20172018","FLA","0",8,4,2,0,7,8,3,0,0,0
"BOS","2018-03-17","2017021102","20172018","T.B","0",2.38,3,0,0,4,5,0,0,0,0
"BOS","2018-03-19","2017021116","20172018","CBJ","1",7.7,6,1,0,4,9,1,0,0,0
"BOS","2018-03-21","2017021134","20172018","STL","0",1.72,3,0,0,1,3,1,0,0,0
"BOS","2018-03-23","2017021150","20172018","DAL","0",6,5,2,0,3,5,2,0,0,0
"BOS","2018-03-25","2017021166","20172018","MIN","0",4,2,0,0,6,2,0,0,0,0
"BOS","2018-03-27","2017021182","20172018","WPG","0",8.35,2,4,0,9,3,5,0,0,0
"BOS","2018-03-29","2017021190","20172018","T.B","1",4.37,4,0,0,4,5,0,0,0,0
"BOS","2018-03-31","2017021206","20172018","FLA","1",0.83,1,0,0,0,1,0,0,0,0
"BOS","2018-04-01","2017021218","20172018","PHI","0",4.55,3,0,0,4,3,0,0,0,0
"BOS","2018-04-03","2017021233","20172018","T.B","0",4,3,1,0,2,3,1,0,0,0
"BOS","2018-04-05","2017021247","20172018","FLA","0",0.23,1,0,0,0,1,0,0,0,0
"BOS","2018-04-07","2017021258","20172018","OTT","1",6.08,5,0,0,6,5,0,1,1,0
"BOS","Total","-","20172018","-","-",5.08,278,65,18,388,361,91,32,12,0
