"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"EDM","2015-10-08","2015020008","20152016","STL","0",6.18,2,1,0,0,0,0,0,0,0,3,4,-1
"EDM","2015-10-10","2015020024","20152016","NSH","0",4,1,0,1,0,0,0,0,0,0,1,1,0
"EDM","2015-10-13","2015020043","20152016","DAL","0",8,1,2,0,0,0,0,0,0,0,6,7,-1
"EDM","2015-10-15","2015020056","20152016","STL","1",3.65,1,0,0,1,1,0,0,0,-1,4,1,3
"EDM","2015-10-17","2015020073","20152016","CGY","0",7.13,0,0,0,0,0,0,0,0,0,3,4,-1
"EDM","2015-10-18","2015020078","20152016","VAN","0",2.8,0,0,0,0,0,0,0,0,0,1,1,0
"EDM","2015-10-21","2015020090","20152016","DET","1",8.92,0,2,0,0,0,0,0,0,0,3,9,-6
"EDM","2015-10-23","2015020104","20152016","WSH","1",5.12,0,1,1,0,0,0,0,0,0,3,4,-1
"EDM","2015-10-25","2015020120","20152016","L.A","1",3.48,0,2,1,0,0,0,0,0,0,2,4,-2
"EDM","2015-10-27","2015020130","20152016","MIN","0",3.72,1,2,0,0,0,0,0,0,0,0,3,-3
"EDM","2015-10-29","2015020144","20152016","MTL","1",2.85,1,0,0,1,0,0,0,0,0,0,3,-3
"EDM","2015-10-31","2015020163","20152016","CGY","1",5.85,1,1,2,0,0,0,0,0,0,4,3,1
"EDM","2015-11-03","2015020179","20152016","PHI","1",3.53,0,0,2,0,0,1,0,0,1,2,1,1
"EDM","2015-11-06","2015020198","20152016","PIT","1",5.07,1,1,0,1,0,0,0,0,0,2,4,-2
"EDM","2015-11-08","2015020214","20152016","CHI","0",6.13,0,2,1,1,0,0,0,0,0,3,5,-2
"EDM","2015-11-11","2015020229","20152016","ANA","0",3.02,0,1,1,0,0,0,0,0,0,3,2,1
"EDM","2015-11-12","2015020240","20152016","ARI","0",5.15,0,0,0,1,0,0,0,0,0,3,3,0
"EDM","2015-11-14","2015020258","20152016","L.A","0",8,0,0,1,0,0,0,0,0,0,4,4,0
"EDM","2015-11-18","2015020277","20152016","CHI","1",2.28,0,2,1,0,0,0,0,0,0,1,2,-1
"EDM","2015-11-20","2015020292","20152016","N.J","1",5.47,1,1,1,1,0,0,0,0,0,4,2,2
"EDM","2015-11-23","2015020311","20152016","WSH","0",5.72,1,1,0,0,0,2,0,0,2,2,5,-3
"EDM","2015-11-25","2015020323","20152016","CAR","0",2,0,0,0,1,0,0,0,0,0,1,0,1
"EDM","2015-11-27","2015020338","20152016","DET","0",3.58,1,0,1,0,0,1,0,0,1,2,2,0
"EDM","2015-11-28","2015020346","20152016","PIT","0",5.17,1,0,0,0,1,0,0,0,-1,7,4,3
"EDM","2015-11-30","2015020357","20152016","TOR","0",5.2,5,0,0,1,0,0,0,0,0,3,3,0
"EDM","2015-12-02","2015020371","20152016","BOS","1",4,2,0,0,0,0,0,0,0,0,1,3,-2
"EDM","2015-12-04","2015020386","20152016","DAL","1",8,4,0,0,0,0,0,0,0,0,5,4,1
"EDM","2015-12-06","2015020402","20152016","BUF","1",7.87,1,1,1,0,0,0,0,0,0,6,4,2
"EDM","2015-12-09","2015020419","20152016","S.J","1",6,1,1,0,0,0,0,0,0,0,1,3,-2
"EDM","2015-12-11","2015020432","20152016","NYR","1",2,3,0,0,0,0,0,0,0,0,2,0,2
"EDM","2015-12-14","2015020448","20152016","BOS","0",4.42,1,0,0,0,0,0,0,0,0,2,4,-2
"EDM","2015-12-15","2015020455","20152016","NYR","0",7.82,0,2,0,0,1,0,0,0,-1,5,6,-1
"EDM","2015-12-17","2015020473","20152016","CHI","0",4,0,1,1,0,0,0,0,0,0,0,2,-2
"EDM","2015-12-19","2015020492","20152016","COL","0",1.13,0,1,0,0,0,0,0,0,0,0,1,-1
"EDM","2015-12-21","2015020506","20152016","WPG","1",10,2,2,1,2,0,0,0,0,0,8,4,4
"EDM","2015-12-26","2015020525","20152016","VAN","0",4,1,0,0,0,0,0,0,0,0,3,3,0
"EDM","2015-12-27","2015020534","20152016","CGY","0",4.8,1,0,1,0,0,0,0,0,0,1,4,-3
"EDM","2015-12-29","2015020549","20152016","L.A","1",3.83,0,0,0,1,0,0,1,1,0,2,3,-1
"EDM","2015-12-31","2015020563","20152016","ANA","1",3.55,3,1,3,0,0,0,0,0,0,2,2,0
"EDM","2016-01-02","2015020568","20152016","ARI","1",6,0,0,2,3,0,0,0,0,0,6,0,6
"EDM","2016-01-04","2015020586","20152016","CAR","1",2,0,1,0,0,0,0,0,0,0,1,1,0
"EDM","2016-01-08","2015020612","20152016","T.B","1",6,1,0,1,1,0,0,0,0,0,1,5,-4
"EDM","2016-01-10","2015020629","20152016","FLA","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"EDM","2016-01-12","2015020641","20152016","ARI","0",4.7,0,0,1,0,0,0,0,0,0,4,5,-1
"EDM","2016-01-14","2015020653","20152016","S.J","0",8,2,1,1,0,0,0,0,0,0,5,3,2
"EDM","2016-01-16","2015020668","20152016","CGY","1",9.77,3,3,2,3,1,0,0,0,-1,7,3,4
"EDM","2016-01-18","2015020677","20152016","FLA","0",7.02,0,1,1,1,0,0,0,0,0,6,3,3
"EDM","2016-01-19","2015020687","20152016","T.B","0",4,0,0,0,0,0,0,0,0,0,5,3,2
"EDM","2016-01-21","2015020700","20152016","DAL","0",4,0,0,0,0,0,0,0,0,0,4,3,1
"EDM","2016-01-23","2015020719","20152016","NSH","1",3.9,0,0,0,0,0,0,0,0,0,2,1,1
"EDM","2016-02-02","2015020753","20152016","CBJ","1",9.97,4,1,2,1,0,1,0,0,1,4,8,-4
"EDM","2016-02-04","2015020763","20152016","OTT","0",6.28,3,2,0,0,0,0,0,0,0,5,6,-1
"EDM","2016-02-06","2015020777","20152016","MTL","0",5.05,3,0,0,1,0,0,0,0,0,3,4,-1
"EDM","2016-02-07","2015020789","20152016","NYI","0",7.22,0,0,0,0,0,0,0,0,0,7,1,6
"EDM","2016-02-09","2015020796","20152016","N.J","0",9.02,2,2,1,0,0,0,0,0,0,6,6,0
"EDM","2016-02-11","2015020816","20152016","TOR","1",10,0,0,2,0,0,0,0,0,0,5,7,-2
"EDM","2016-02-13","2015020833","20152016","WPG","1",11.63,4,3,2,0,0,1,0,0,1,4,8,-4
"EDM","2016-02-16","2015020854","20152016","ANA","1",5.53,2,2,3,0,0,1,0,0,1,4,4,0
"EDM","2016-02-18","2015020866","20152016","MIN","1",4.98,3,0,1,0,0,0,0,0,0,4,1,3
"EDM","2016-02-20","2015020882","20152016","COL","1",4.68,0,0,0,0,0,0,0,0,0,5,5,0
"EDM","2016-02-23","2015020900","20152016","OTT","1",2.77,2,0,0,0,0,0,0,0,0,2,0,2
"EDM","2016-02-25","2015020915","20152016","L.A","0",2,0,0,0,1,0,0,0,0,0,1,0,1
"EDM","2016-02-26","2015020919","20152016","ANA","0",5.6,0,0,0,1,0,0,0,0,0,3,3,0
"EDM","2016-02-28","2015020936","20152016","NYI","1",8,5,1,1,0,0,0,0,0,0,4,2,2
"EDM","2016-03-01","2015020944","20152016","BUF","0",2,0,0,0,0,0,0,0,0,0,1,1,0
"EDM","2016-03-03","2015020956","20152016","PHI","0",14,3,2,1,2,0,0,0,0,0,6,14,-8
"EDM","2016-03-04","2015020967","20152016","CBJ","0",4.98,0,0,0,0,0,0,0,0,0,3,2,1
"EDM","2016-03-06","2015020984","20152016","WPG","0",4,1,0,0,0,0,0,0,0,0,4,3,1
"EDM","2016-03-08","2015021000","20152016","S.J","1",0.92,0,0,0,0,0,0,0,0,0,0,2,-2
"EDM","2016-03-10","2015021011","20152016","MIN","0",8,0,1,1,0,0,0,0,0,0,2,5,-3
"EDM","2016-03-12","2015021026","20152016","ARI","1",2.12,0,0,0,0,1,0,0,0,-1,3,1,2
"EDM","2016-03-14","2015021036","20152016","NSH","1",4,0,1,0,0,0,0,0,0,0,2,1,1
"EDM","2016-03-16","2015021049","20152016","STL","1",5.27,1,0,1,1,0,0,0,0,0,2,4,-2
"EDM","2016-03-18","2015021065","20152016","VAN","1",6,2,1,0,0,0,0,0,0,0,2,3,-1
"EDM","2016-03-20","2015021083","20152016","COL","1",3.45,1,0,0,0,0,0,0,0,0,0,2,-2
"EDM","2016-03-22","2015021097","20152016","ARI","0",3,0,0,0,0,1,0,0,0,-1,1,2,-1
"EDM","2016-03-24","2015021111","20152016","S.J","0",5.28,1,0,0,0,0,0,0,0,0,3,3,0
"EDM","2016-03-26","2015021128","20152016","L.A","0",2,0,0,0,1,0,0,0,0,0,0,2,-2
"EDM","2016-03-28","2015021137","20152016","ANA","1",6.78,2,2,1,1,1,0,0,0,-1,3,5,-2
"EDM","2016-04-02","2015021176","20152016","CGY","1",10.83,2,4,3,1,0,0,0,0,0,7,6,1
"EDM","2016-04-06","2015021201","20152016","VAN","1",8,2,2,1,1,0,0,0,0,0,3,2,1
"EDM","2016-04-09","2015021228","20152016","VAN","0",4.12,0,1,0,0,0,0,0,0,0,4,2,2
"EDM","Total","-","20152016","-","-",5.32,86,59,48,30,7,7,1,1,0,249,266,-17
